Chr Gene nSNPs nSims Start Stop Test Pvalue
"1" "A3GALT2" 26 1000 33544953 33559286 42.9549588371985 0.159
"1" "AADACL3" 35 1000 12698704 12711313 12.4248944870049 0.876
"1" "AADACL4" 31 1000 12627152 12649684 36.5940888325145 0.298
"1" "ABCA4" 104 1000 94230981 94359293 112.880812640861 0.328
"1" "ABCB10" 16 1000 227718951 227761065 6.84055256636984 0.838
"1" "ABCD3" 24 1000 94656520 94756807 10.9944199288318 0.762
"1" "ABHD7" 12 1000 92268145 92301681 4.23431832346083 0.883
"1" "ABL2" 34 1000 177335084 177465390 29.4697954777433 0.474
"1" "ACADM" 13 1000 75962630 76001943 18.0574716513465 0.193
"1" "ACBD3" 18 1000 224399002 224441046 13.147877431932 0.599
"1" "ACBD6" 46 1000 178523987 178738102 47.3570413657403 0.385
"1" "ACOT11" 51 1e+05 54786488 54873005 105.688968442489 0.02924
"1" "ACOT7" 27 1000 6246918 6376413 5.88640138723394 0.988
"1" "ACP6" 25 1000 145585791 145609258 13.1142096619755 0.757
"1" "ACTA1" 11 1000 227633615 227636466 13.6816419406696 0.283
"1" "ACTL8" 39 1000 17954430 18026145 40.5127617766218 0.354
"1" "ACTN2" 36 1000 234916392 234994181 26.5128829121762 0.644
"1" "ACTRT2" 17 1000 2927905 2929327 16.949019513677 0.37
"1" "ADAM15" 34 1000 153290385 153301876 11.1043063420844 0.949
"1" "ADAM30" 13 1000 120237678 120240636 21.1299959288449 0.162
"1" "ADAMTS4" 39 1000 159426161 159435469 31.0440120308606 0.571
"1" "ADAMTSL4" 15 1000 148788521 148800036 12.1066235747137 0.502
"1" "ADAR" 21 1e+05 152821157 152867061 43.116762096263 0.07923
"1" "ADC" 12 1000 33319300 33358582 6.0793138175512 0.674
"1" "ADIPOR1" 15 1000 201176583 201194323 13.3636329916661 0.479
"1" "ADORA1" 43 1000 201363458 201403156 17.71515104146 0.963
"1" "ADORA3" 53 1000 111827492 111908120 58.7471225162282 0.315
"1" "ADPRHL2" 11 1000 36327072 36332120 12.4019820766188 0.303
"1" "ADSS" 31 1000 242638418 242682036 44.9374277557695 0.164
"1" "AFAR3" 30 1000 19465062 19473022 11.6217873376933 0.933
"1" "AGBL4" 128 1000 48771113 50262213 185.733047433964 0.106
"1" "AGL" 23 1000 100088227 100162167 19.0382189914991 0.487
"1" "AGMAT" 13 1000 15771738 15784192 21.7992043505409 0.166
"1" "AGRN" 19 1000 945365 981355 26.2324798045381 0.215
"1" "AGT" 55 1000 228904891 228916959 95.8049666112204 0.103
"1" "AGTRAP" 37 1e+05 11718728 11733415 81.5179777189247 0.02453
"1" "AHCTF1" 35 1000 245069024 245148302 17.1130760488435 0.801
"1" "AHCYL1" 22 1000 110328830 110367887 38.4344499758708 0.127
"1" "AHDC1" 6 1000 27733342 27802730 5.74060259454894 0.398
"1" "AIDA" 19 1000 220907977 220952487 5.12133156665597 0.868
"1" "AIM1L" 35 1000 26520936 26543030 20.5574980941022 0.731
"1" "AIM2" 13 1000 157298898 157313271 7.47621161115158 0.534
"1" "AJAP1" 71 1000 4614964 4743711 75.2168320164253 0.395
"1" "AK2" 9 1000 33246172 33275079 2.44486346089199 0.805
"1" "AK3L1" 28 1000 65385819 65465763 39.4272456374678 0.18
"1" "AK5" 89 1000 77520329 77798242 69.6504035273819 0.671
"1" "AKIRIN1" 13 1000 39229503 39243566 19.4303806548596 0.19
"1" "AKR1A1" 13 1000 45789084 45808308 9.88710528509731 0.494
"1" "AKR7A2" 29 1000 19503048 19511227 12.274553243851 0.918
"1" "AKR7A3" 26 1000 19481643 19487867 8.73510956279899 0.954
"1" "AKT3" 36 1000 241718157 242073176 27.1514645173824 0.547
"1" "ALDH4A1" 31 1000 19070512 19101659 47.8567637318063 0.115
"1" "ALDH9A1" 55 1000 163898072 163934524 48.4465178487534 0.524
"1" "ALG14" 31 1000 95220884 95311071 34.923213333709 0.327
"1" "ALG6" 23 1000 63605885 63675466 20.6326444899777 0.486
"1" "ALPL" 56 1e+05 21708444 21777492 161.16307723063 0.00164
"1" "ALX3" 13 1000 110404519 110414845 22.3878672413794 0.133
"1" "AMIGO1" 17 1000 109850968 109853859 11.6186049310803 0.593
"1" "AMPD1" 20 1000 115017244 115039699 32.0401573500953 0.174
"1" "AMPD2" 27 1000 109963981 109976200 13.3489709702977 0.825
"1" "AMY1A-3" 3 1000 104093801 104102834 0.984330567866719 0.768
"1" "AMY1B-3" 3 1000 104093985 104102833 0.984330567866719 0.779
"1" "AMY1C-3" 3 1000 104093963 104102833 0.984330567866719 0.743
"1" "AMY2A" 5 1000 103961521 103969923 0.299007076884713 0.939
"1" "AMY2B" 7 1000 103898844 103923672 0.365019571946689 0.94
"1" "ANGEL2" 13 1000 211232146 211255791 1.16136070792814 0.998
"1" "ANGPTL1" 10 1000 177085292 177106838 7.44784823083417 0.484
"1" "ANGPTL3" 7 1000 62835774 62843768 13.1096993911106 0.134
"1" "ANGPTL7" 3 1000 11171984 11178625 3.01434172040813 0.357
"1" "ANKRD13C" 16 1000 70497272 70593005 26.6950434710103 0.145
"1" "ANKRD34A" 6 1000 144181864 144187004 1.37760268003342 0.873
"1" "ANKRD35" 19 1000 144260565 144279883 4.46246087951313 0.964
"1" "ANKRD45" 8 1000 171844097 171905624 5.06438595767424 0.625
